subject,block,trial,mu1,mu2,choice,reward,RT,cond
1,1,1,17,-1,1,25,2521,3
1,1,2,17,-1,2,8,1053,3
1,1,3,17,-1,1,25,615,3
1,1,4,17,-1,1,19,519,3
1,1,5,17,-1,1,6,464,3
1,1,6,17,-1,2,6,456,3
1,1,7,17,-1,2,-7,712,3
1,1,8,17,-1,1,19,392,3
1,1,9,17,-1,1,16,560,3
1,1,10,17,-1,1,22,488,3
1,2,1,-3,0,2,0,1296,1
1,2,2,-3,0,1,-1,407,1
1,2,3,-3,0,1,-14,343,1
1,2,4,-3,0,2,0,384,1
1,2,5,-3,0,1,-5,528,1
1,2,6,-3,0,2,0,327,1
1,2,7,-3,0,2,0,415,1
1,2,8,-3,0,2,0,312,1
1,2,9,-3,0,2,0,368,1
1,2,10,-3,0,2,0,367,1
1,3,1,3,19,2,19,984,1
1,3,2,3,19,1,9,391,1
1,3,3,3,19,1,2,759,1
1,3,4,3,19,2,19,352,1
1,3,5,3,19,2,19,456,1
1,3,6,3,19,2,19,359,1
1,3,7,3,19,2,19,367,1
1,3,8,3,19,2,19,335,1
1,3,9,3,19,2,19,328,1
1,3,10,3,19,2,19,327,1
1,4,1,-10,5,1,-9,3088,1
1,4,2,-10,5,2,5,400,1
1,4,3,-10,5,2,5,336,1
1,4,4,-10,5,2,5,336,1
1,4,5,-10,5,1,-15,343,1
1,4,6,-10,5,2,5,335,1
1,4,7,-10,5,2,5,303,1
1,4,8,-10,5,2,5,343,1
1,4,9,-10,5,2,5,327,1
1,4,10,-10,5,2,5,351,1
1,5,1,1,11,2,11,815,1
1,5,2,1,11,1,5,431,1
1,5,3,1,11,1,1,319,1
1,5,4,1,11,1,4,479,1
1,5,5,1,11,2,11,337,1
1,5,6,1,11,2,11,319,1
1,5,7,1,11,2,11,345,1
1,5,8,1,11,2,11,375,1
1,5,9,1,11,2,11,336,1
1,5,10,1,11,2,11,375,1
1,6,1,-8,4,2,4,1264,4
1,6,2,-8,4,1,-8,279,4
1,6,3,-8,4,2,4,336,4
1,6,4,-8,4,2,4,352,4
1,6,5,-8,4,1,-8,344,4
1,6,6,-8,4,2,4,303,4
1,6,7,-8,4,2,4,320,4
1,6,8,-8,4,2,4,359,4
1,6,9,-8,4,2,4,375,4
1,6,10,-8,4,2,4,353,4
1,7,1,-1,-8,2,-8,856,1
1,7,2,-1,-8,1,-2,288,1
1,7,3,-1,-8,1,4,335,1
1,7,4,-1,-8,1,-4,510,1
1,7,5,-1,-8,2,-8,328,1
1,7,6,-1,-8,1,8,352,1
1,7,7,-1,-8,1,5,367,1
1,7,8,-1,-8,1,0,336,1
1,7,9,-1,-8,1,6,343,1
1,7,10,-1,-8,1,-8,352,1
1,8,1,-5,-3,1,-4,617,3
1,8,2,-5,-3,2,-17,312,3
1,8,3,-5,-3,1,-9,384,3
1,8,4,-5,-3,1,-1,335,3
1,8,5,-5,-3,2,-2,375,3
1,8,6,-5,-3,2,7,360,3
1,8,7,-5,-3,2,4,368,3
1,8,8,-5,-3,2,0,368,3
1,8,9,-5,-3,2,6,471,3
1,8,10,-5,-3,1,-2,415,3
1,9,1,0,4,2,4,552,4
1,9,2,0,4,1,0,304,4
1,9,3,0,4,2,4,344,4
1,9,4,0,4,2,4,344,4
1,9,5,0,4,2,4,368,4
1,9,6,0,4,2,4,351,4
1,9,7,0,4,2,4,376,4
1,9,8,0,4,2,4,368,4
1,9,9,0,4,2,4,327,4
1,9,10,0,4,2,4,384,4
1,10,1,-1,7,1,-2,888,3
1,10,2,-1,7,2,4,320,3
1,10,3,-1,7,2,9,335,3
1,10,4,-1,7,2,5,344,3
1,10,5,-1,7,2,8,352,3
1,10,6,-1,7,2,4,344,3
1,10,7,-1,7,2,7,351,3
1,10,8,-1,7,2,2,327,3
1,10,9,-1,7,2,5,360,3
1,10,10,-1,7,2,1,376,3
1,11,1,0,-3,2,-3,752,1
1,11,2,0,-3,1,-19,616,1
1,11,3,0,-3,1,4,408,1
1,11,4,0,-3,1,-15,416,1
1,11,5,0,-3,1,-8,831,1
1,11,6,0,-3,2,-3,304,1
1,11,7,0,-3,2,-3,320,1
1,11,8,0,-3,2,-3,335,1
1,11,9,0,-3,2,-3,309,1
1,11,10,0,-3,2,-3,320,1
1,12,1,-6,9,2,9,657,1
1,12,2,-6,9,1,3,336,1
1,12,3,-6,9,1,-4,343,1
